title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Kendrick Lamar - DAMN. ALBUM REVIEW,https://i.ytimg.com/vi/RIGINiBYxis/hqdefault.jpg,0.041,0.039,0.001,0.008,0.089,0.095,0.71,0.016,7
Arca - Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/IZxa8FaUYOw/hqdefault.jpg,0.001,0.889,0.001,0,0,0.002,0,0.106,5
Mastodon - Emperor of Sand ALBUM REVIEW,https://i.ytimg.com/vi/bbS0PRslyJs/hqdefault.jpg,0,0.328,0.01,0,0,0.001,0,0.661,4
Ibibio Sound Machine - Uyai ALBUM REVIEW,https://i.ytimg.com/vi/JxVBmNpYtYM/hqdefault.jpg,0,0,0,0,0.003,0.14,0.002,0.855,8
Sampha - Process ALBUM REVIEW,https://i.ytimg.com/vi/ORRDA5YFhcc/hqdefault.jpg,0.001,0.24,0.002,0,0,0.75,0.006,0,8
Bedwetter - Flick Your Tongue Against Your Teeth and Describe the Present ALBUM REVIEW,https://i.ytimg.com/vi/BDnYIjhaSzc/hqdefault.jpg,0,0.068,0,0,0,0.932,0,0,6
Ty Segall - Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/oDEEOvaaBNE/hqdefault.jpg,0,0.452,0,0,0,0.543,0.004,0,6
Emperor - In the Nightside Eclipse ALBUM REVIEW,https://i.ytimg.com/vi/7K38cdHSdMY/hqdefault.jpg,0,0.221,0,0,0,0.779,0,0,classic
Tom Waits - Rain Dogs ALBUM REVIEW,https://i.ytimg.com/vi/Wn3qNbJgRJU/hqdefault.jpg,0.002,0.98,0.006,0,0.001,0.006,0,0.005,classic
Outkast - ATLiens ALBUM REVIEW,https://i.ytimg.com/vi/jFSJnr1rktI/hqdefault.jpg,0.001,0.722,0,0,0,0.248,0,0.027,classic
"Kid Cudi - Passion, Pain & Demon Slayin' ALBUM REVIEW",https://i.ytimg.com/vi/IAHgAEpNF5I/hqdefault.jpg,0,1,0,0,0,0,0,0,4
J. Cole - 4 Your Eyez Only ALBUM REVIEW,https://i.ytimg.com/vi/c_A7jwZypEQ/hqdefault.jpg,0,0.034,0.005,0.001,0,0.712,0.005,0.243,6
"Childish Gambino - Awaken, My Love! ALBUM REVIEW",https://i.ytimg.com/vi/BwC-hYrfKV4/hqdefault.jpg,0.561,0.408,0.003,0.002,0,0.019,0.006,0.001,7
Justice - Woman ALBUM REVIEW,https://i.ytimg.com/vi/U_PyyvgFLLI/hqdefault.jpg,0,0.754,0,0,0.016,0.227,0,0.002,5
Kero Kero Bonito - Bonito Generation ALBUM REVIEW,https://i.ytimg.com/vi/vfMP52k1Dv4/hqdefault.jpg,0,0.524,0.003,0.001,0.002,0.457,0.001,0.012,8
Korn - The Serenity of Suffering ALBUM REVIEW,https://i.ytimg.com/vi/sKTSgxz-aKg/hqdefault.jpg,0,0.141,0,0,0,0.858,0,0,4
Conor Oberst - Ruminations ALBUM REVIEW,https://i.ytimg.com/vi/kAOw5dpeaus/hqdefault.jpg,0,0,0.956,0.014,0.001,0.028,0.001,0,8
The Dillinger Escape Plan - Dissociation ALBUM REVIEW,https://i.ytimg.com/vi/E6WtycT5NQ8/hqdefault.jpg,0.001,0.977,0.017,0,0,0,0,0.005,7
Crying - Beyond the Fleeting Gales ALBUM REVIEW,https://i.ytimg.com/vi/-hnhEGWxbOY/hqdefault.jpg,0.001,0.009,0,0,0,0.721,0,0.27,8
Jeff Rosenstock - Worry ALBUM REVIEW,https://i.ytimg.com/vi/wqBQhv6OUMg/hqdefault.jpg,0,0.835,0.001,0,0,0.046,0,0.118,8
American Football - Self-Titled (LP2) ALBUM REVIEW,https://i.ytimg.com/vi/uw4Ikdcjpgg/hqdefault.jpg,0,0.982,0,0,0,0.018,0,0,5
Regina Spektor - Remember Us To Life ALBUM REVIEW,https://i.ytimg.com/vi/vdmzHJ8QsJs/hqdefault.jpg,0,0.953,0.003,0.001,0.029,0.013,0,0.001,8
"Bon Iver - 22, A Million ALBUM REVIEW",https://i.ytimg.com/vi/BjLa2rN4AzA/hqdefault.jpg,0,0.988,0,0,0,0.012,0,0,5
Mick Jenkins - The Healing Component ALBUM REVIEW,https://i.ytimg.com/vi/cmfv7f-0Mbk/hqdefault.jpg,0,0.948,0.042,0,0.005,0.001,0,0.004,5
Nick Cave & the Bad Seeds - Skeleton Tree ALBUM REVIEW,https://i.ytimg.com/vi/Vz2YokGxlT4/hqdefault.jpg,0,0.999,0,0,0,0.001,0,0,8
clipping. - Splendor & Misery ALBUM REVIEW,https://i.ytimg.com/vi/J_LvLhFq2IU/hqdefault.jpg,0,0,0,0,0,0.014,0,0.986,8
Glass Animals - How To Be A Human Being ALBUM REVIEW,https://i.ytimg.com/vi/fWxQJiyLK1k/hqdefault.jpg,0.003,0.488,0.014,0.141,0.287,0.065,0.001,0.001,6
Angel Olsen - My Woman ALBUM REVIEW,https://i.ytimg.com/vi/iAfxeKWphdg/hqdefault.jpg,0,0.969,0.003,0,0.005,0,0,0.022,8
Frank Ocean - Blonde ALBUM REVIEW (Endless / Boys Don't Cry),https://i.ytimg.com/vi/iKvC10hmVnU/hqdefault.jpg,0.002,0.002,0,0,0,0,0,0.996,8
PartyNextDoor - P3 ALBUM REVIEW,https://i.ytimg.com/vi/xmGcoPn08jg/hqdefault.jpg,0,0.999,0,0,0,0.001,0,0,4
BADBADNOTGOOD - IV ALBUM REVIEW,https://i.ytimg.com/vi/uw9gtldMQfs/hqdefault.jpg,0,0.636,0.001,0,0.009,0.349,0.004,0,7
Red Hot Chili Peppers - The Getaway ALBUM REVIEW,https://i.ytimg.com/vi/osgQqOgJGtw/hqdefault.jpg,0,0.005,0.224,0,0,0,0,0.77,5
Moonsorrow - Jumalten Aika ALBUM REVIEW,https://i.ytimg.com/vi/iEO6FWFByFY/hqdefault.jpg,0,0.993,0,0,0,0.007,0,0,8
Car Seat Headrest - Teens of Denial ALBUM REVIEW,https://i.ytimg.com/vi/73Kl42LqEqM/hqdefault.jpg,0,0,0,0,0,0.021,0,0.979,8
Radiohead - A Moon Shaped Pool ALBUM REVIEW,https://i.ytimg.com/vi/S35v1xtzdbk/hqdefault.jpg,0,0.001,0,0,0,0.999,0,0,8
Xiu Xiu - Plays the Music of Twin Peaks ALBUM REVIEW,https://i.ytimg.com/vi/SdfSu2LKucs/hqdefault.jpg,0,0.001,0.001,0,0,0.997,0,0.001,9
Sturgill Simpson - A Sailor's Guide To Earth ALBUM REVIEW,https://i.ytimg.com/vi/h_vuv0Oq6jQ/hqdefault.jpg,0.02,0.024,0.002,0.006,0.096,0.419,0.341,0.091,8
Parquet Courts - Human Performance ALBUM REVIEW,https://i.ytimg.com/vi/vruPJVIfa2s/hqdefault.jpg,0,0.033,0,0,0,0.907,0,0.058,7
Tim Hecker - Love Streams ALBUM REVIEW,https://i.ytimg.com/vi/fn6CgvrVAmw/hqdefault.jpg,0.001,0.625,0.018,0.003,0.343,0.006,0.001,0.003,5
Weezer - Weezer (The White Album) ALBUM REVIEW,https://i.ytimg.com/vi/TJNRymZmcfY/hqdefault.jpg,0,0.589,0.001,0,0.004,0.403,0.001,0.002,8
